,Date,Open,High,Low,Close,Volume
0,2022-05-12,113.66,120.49,111.22,115.94,9254103.0
1,2022-05-13,119.96,123.29,118.82,121.45,8518879.0
2,2022-05-16,121.0,121.07,113.25,114.44,7588370.0
3,2022-05-17,119.97,120.18,114.51,117.5,6962904.0
4,2022-05-18,116.11,117.04,107.62,108.03,9718744.0
5,2022-05-19,108.18,116.3499,107.4501,114.17,8826616.0
6,2022-05-20,115.46,116.25,108.5,112.55,6961860.0
7,2022-05-23,113.545,115.15,110.9301,113.28,6000751.0
8,2022-05-24,111.28,111.42,103.7406,106.24,6415752.0
9,2022-05-25,105.89,111.94,104.97,110.4,6203324.0
10,2022-05-26,109.74,115.55,108.11,114.3,6883200.0
11,2022-05-27,116.0,120.7,115.77,120.5,7391396.0
12,2022-05-31,120.5,122.2994,117.16,120.87,9117555.0
13,2022-06-01,121.05,121.0738,114.395,116.72,6879606.0
14,2022-06-02,117.13,123.0,116.27,121.26,5177244.0
15,2022-06-03,118.071,121.5,117.56,119.83,4584611.0
16,2022-06-06,123.33,124.18,119.92,122.02,4160239.0
17,2022-06-07,119.76,123.9117,119.12,122.9,3331236.0
18,2022-06-08,121.43,125.51,121.23,123.77,3775619.0
19,2022-06-09,122.31,122.98,115.42,115.72,5315873.0
20,2022-06-10,111.8,115.13,108.32,108.91,6941056.0
21,2022-06-13,102.85,105.33,98.36,98.93,9587311.0
22,2022-06-14,99.54,101.35,97.2006,98.87,5910344.0
23,2022-06-15,100.02,103.6499,98.92,101.47,6260439.0
24,2022-06-16,96.19,97.5,92.09,93.26,9435656.0
25,2022-06-17,93.53,100.61,93.53,99.49,11293112.0
26,2022-06-21,102.69,104.8888,101.62,102.27,6532713.0
27,2022-06-22,99.0,102.5,98.72,99.53,8986027.0
28,2022-06-23,100.0,100.8,93.02,95.72,12340821.0
29,2022-06-24,97.52,104.18,96.33,103.51,28797396.0
30,2022-06-27,103.96,104.17,99.33,101.5,7352143.0
31,2022-06-28,103.34,105.45,97.09,97.53,7747662.0
32,2022-06-29,96.83,97.0,92.05,93.93,6522572.0
33,2022-06-30,92.49,92.91,86.71,89.08,9007783.0
34,2022-07-01,89.09,91.46,87.43,91.41,5995434.0
35,2022-07-05,88.88,96.01,86.75,95.94,7653996.0
36,2022-07-06,95.29,96.1699,91.8,92.88,5702961.0
37,2022-07-07,93.66,97.55,92.16,97.5,7480538.0
38,2022-07-08,96.23,98.12,93.2417,97.35,5669474.0
39,2022-07-11,96.0,97.09,93.27,95.1,6029282.0
40,2022-07-12,95.3,97.6861,93.32,96.55,4170185.0
41,2022-07-13,93.75,96.5894,91.61,95.64,6967800.0
42,2022-07-14,94.28,94.58,90.17,91.05,8334633.0
43,2022-07-15,92.55,95.65,90.66,94.66,7497187.0
44,2022-07-18,96.78,101.88,95.98,97.67,7171484.0
45,2022-07-19,99.7,102.71,98.76,102.2,5603808.0
46,2022-07-20,103.11,108.92,102.75,107.73,6834133.0
47,2022-07-21,106.98,108.5,104.41,108.14,4284851.0
48,2022-07-22,108.31,110.1,102.93,103.97,4243932.0
49,2022-07-25,103.78,105.26,101.4794,104.95,3142931.0
50,2022-07-26,102.38,103.63,101.1,101.91,4190993.0
51,2022-07-27,105.79,107.985,104.06,107.36,5362726.0
52,2022-07-28,108.17,110.06,104.68,108.84,4471883.0
53,2022-07-29,108.195,111.16,107.11,110.98,4637779.0
54,2022-08-01,110.0,113.96,107.48,111.2,6019506.0
55,2022-08-02,111.67,117.78,111.1,116.34,15208217.0
56,2022-08-03,108.225,115.57,107.65,115.02,23354938.0
57,2022-08-04,114.31,119.24,114.255,119.22,9180317.0
58,2022-08-05,115.52,118.8699,114.82,117.11,6494951.0
59,2022-08-08,118.155,119.64,115.43,115.82,5382935.0
60,2022-08-09,115.0,115.67,112.8,114.44,4201213.0
61,2022-08-10,119.33,120.34,116.3,118.73,5529014.0
62,2022-08-11,121.3,127.09,120.96,121.5,8110104.0
63,2022-08-12,122.8,125.0,121.12,124.51,5012478.0
64,2022-08-15,123.55,126.4345,123.2,126.04,4884711.0
65,2022-08-16,124.23,125.42,122.62,124.18,4371514.0
66,2022-08-17,121.63,123.27,120.64,121.87,4336182.0
67,2022-08-18,121.5,122.2,120.28,121.27,3373946.0
68,2022-08-19,118.1845,119.2199,114.1,114.76,5288830.0
69,2022-08-22,110.36,114.2281,109.97,111.39,6057435.0
70,2022-08-23,112.41,114.02,111.41,111.6,5447183.0
71,2022-08-24,110.93,115.57,110.84,114.51,3627950.0
72,2022-08-25,115.89,117.95,115.42,117.03,4021587.0
73,2022-08-26,117.06,118.27,112.78,112.82,3778708.0
74,2022-08-29,111.77,115.8,111.53,113.54,4620614.0
75,2022-08-30,114.5,116.02,110.44,112.56,4507191.0
76,2022-08-31,113.49,115.58,112.4,113.12,6191562.0
77,2022-09-01,111.1,114.08,108.17,113.4,5661493.0
78,2022-09-02,114.32,116.46,112.33,113.64,4121736.0
79,2022-09-06,114.09,114.52,110.5,113.7,4067119.0
80,2022-09-07,112.85,116.44,112.71,116.07,4619318.0
81,2022-09-08,114.0,119.3471,114.0,118.58,4063966.0
82,2022-09-09,120.0182,123.71,119.9,123.48,5418591.0
83,2022-09-12,124.25,127.24,123.785,124.79,6993308.0
84,2022-09-13,119.7,123.86,119.05,121.54,7126468.0
85,2022-09-14,121.63,127.0,119.51,126.8,5690127.0
86,2022-09-15,125.29,129.38,124.28,125.04,6606137.0
87,2022-09-16,121.11,122.26,117.59,118.75,13704405.0
88,2022-09-19,116.87,119.78,116.47,118.78,4715382.0
89,2022-09-20,117.93,121.66,116.62,116.71,5610900.0
90,2022-09-21,116.37,119.33,112.36,114.01,6898063.0
91,2022-09-22,112.67,113.72,103.26,103.72,8399410.0
92,2022-09-23,102.2,103.18,99.71,101.75,6245555.0
93,2022-09-26,101.78,105.36,101.56,103.23,5278759.0
94,2022-09-27,106.04,108.17,104.14,106.37,5081006.0
95,2022-09-28,106.701,111.13,105.78,110.69,4518240.0
96,2022-09-29,109.19,109.475,105.17,106.66,4264336.0
97,2022-09-30,104.76,109.08,104.73,105.04,4750577.0
98,2022-10-03,105.49,106.35,102.18,105.0,6208938.0
99,2022-10-04,109.14,111.61,108.68,110.81,4834992.0
100,2022-10-05,110.52,112.34,107.84,111.76,4008655.0
101,2022-10-06,112.0,114.41,110.2,111.58,3446542.0
102,2022-10-07,108.87,109.5321,107.1,108.54,3352741.0
103,2022-10-10,108.55,111.62,107.41,110.99,3945173.0
104,2022-10-11,110.988,111.0,103.595,106.82,5696693.0
105,2022-10-12,107.47,112.98,106.11,112.35,5547542.0
106,2022-10-13,107.3,113.13,105.3,112.65,6161480.0
107,2022-10-14,115.0,116.448,109.01,109.16,5001698.0
108,2022-10-17,112.33,116.76,111.03,116.5,5423881.0
109,2022-10-18,120.03,120.71,115.7,117.94,5580013.0
110,2022-10-19,116.235,118.84,115.3,116.87,3408865.0
111,2022-10-20,116.35,120.56,116.0,117.0,3962235.0
112,2022-10-21,116.76,120.34,114.6401,119.95,4146060.0
113,2022-10-24,118.33,119.07,112.8237,116.39,4452813.0
114,2022-10-25,115.37,119.38,112.63,118.45,6278920.0
115,2022-10-26,117.0,119.91,114.97,115.31,4268449.0
116,2022-10-27,116.05,116.37,111.925,112.06,4593997.0
117,2022-10-28,111.19,115.25,110.39,115.21,4757271.0
118,2022-10-31,113.06,113.8,106.67,106.91,10733821.0
119,2022-11-01,110.965,113.1,108.0,109.05,15979816.0
120,2022-11-02,102.645,104.9799,94.25,94.41,29191366.0
121,2022-11-03,94.08,95.31,91.2723,92.02,10099295.0
122,2022-11-04,94.995,96.16,92.01,96.09,9717396.0
123,2022-11-07,96.76,97.25,93.28,95.46,7972690.0
124,2022-11-08,95.53,101.9193,94.27,98.9,7829381.0
125,2022-11-09,97.75,99.0899,95.15,95.79,4650457.0
126,2022-11-10,100.91,102.5,99.04,102.4,7343018.0
127,2022-11-11,103.45,109.77,102.16,109.57,6864381.0
128,2022-11-14,107.74,108.69,105.04,105.16,4951447.0
129,2022-11-15,109.27,111.235,106.6,107.01,5357427.0
130,2022-11-16,107.7,107.7,104.38,104.43,3681831.0
131,2022-11-17,101.83,101.98,98.85,99.3,5181201.0
132,2022-11-18,100.84,100.84,96.6,97.77,5913126.0
133,2022-11-21,97.01,97.85,93.92,95.71,5145740.0
134,2022-11-22,93.53,95.37,92.98,95.28,5951592.0
135,2022-11-23,95.56,97.05,94.3404,96.63,4337602.0
136,2022-11-25,96.97,98.8299,96.76,97.67,2245116.0
137,2022-11-28,97.0,98.32,94.81,95.3,5136713.0
138,2022-11-29,96.1,97.26,95.3,95.38,3694023.0
139,2022-11-30,95.86,102.25,95.72,102.14,8387537.0
140,2022-12-01,101.49,102.76,99.55,101.27,5040308.0
141,2022-12-02,99.25,101.74,98.97,101.0,4128629.0
142,2022-12-05,100.0,101.17,98.04,98.51,3601549.0
143,2022-12-06,98.25,98.5,91.9,93.12,8380946.0
144,2022-12-07,88.805,91.67,86.88,91.5,12640481.0
145,2022-12-08,92.97,95.61,91.75,94.83,6115721.0
146,2022-12-09,93.84,96.6678,93.24,94.7,4405805.0
147,2022-12-12,93.76,95.96,93.49,95.58,4664128.0
148,2022-12-13,100.37,100.65,93.12,93.34,7378926.0
149,2022-12-14,93.54,95.26,91.21,93.93,6737816.0
150,2022-12-15,91.52,92.71,89.52,90.61,5331958.0
151,2022-12-16,89.86,91.29,88.56,89.57,6830248.0
152,2022-12-19,89.51,89.76,85.4,85.93,4717138.0
153,2022-12-20,86.71,90.86,86.52,87.62,7325782.0
154,2022-12-21,87.49,88.79,86.59,87.07,5594786.0
155,2022-12-22,85.54,86.09,82.58,84.87,5643102.0
156,2022-12-23,84.7,85.51,83.5,85.25,3057684.0
157,2022-12-27,84.78,84.93,82.83,83.49,3982410.0
158,2022-12-28,83.25,84.25,81.91,82.49,4931745.0
159,2022-12-29,82.97,85.56,82.29,85.23,4031346.0
160,2022-12-30,83.61,86.06,83.6001,85.5,3372534.0
161,2023-01-03,87.385,88.14,84.3,84.9,3901185.0
162,2023-01-04,85.89,88.84,84.79,88.72,4817088.0
163,2023-01-05,88.48,88.5,86.75,87.71,3419036.0
164,2023-01-06,88.52,88.74,85.71,88.52,4348374.0
165,2023-01-09,90.255,92.05,88.88,89.24,4319380.0
166,2023-01-10,88.86,89.62,86.75,88.54,4165610.0
167,2023-01-11,89.0,94.83,88.864,94.44,7718901.0
168,2023-01-12,95.31,98.95,94.02,98.49,7695221.0
169,2023-01-13,97.5,100.6999,97.42,100.37,6528993.0
170,2023-01-17,99.915,102.735,99.1,101.27,5496249.0
171,2023-01-18,101.41,103.8001,100.32,101.11,6062224.0
172,2023-01-19,99.84,100.52,97.57,99.1,4996747.0
173,2023-01-20,99.01,101.37,98.1107,101.28,5104017.0
174,2023-01-23,101.99,105.38,101.35,105.22,4442688.0
175,2023-01-24,104.7,106.3899,103.82,104.13,3514662.0
176,2023-01-25,100.36,104.675,99.841,104.44,5169257.0
177,2023-01-26,106.3,109.49,105.675,109.42,5196610.0
178,2023-01-27,108.86,117.12,108.7345,115.94,9548495.0
179,2023-01-30,114.13,115.08,109.275,109.48,5469927.0
180,2023-01-31,109.48,111.23,108.82,111.11,3867201.0
181,2023-02-01,111.11,114.89,109.83,113.99,4053605.0
182,2023-02-02,116.25,119.85,116.24,118.52,7166921.0
183,2023-02-03,116.04,121.4,115.85,118.7,6130725.0
184,2023-02-06,117.41,119.3335,116.81,118.35,3204147.0
185,2023-02-07,117.91,120.21,115.1379,119.69,4397729.0
186,2023-02-08,119.39,119.81,115.57,116.36,3605405.0
187,2023-02-09,118.0,119.28,114.52,114.94,4508691.0
188,2023-02-10,112.25,113.36,106.5383,108.87,6463548.0
189,2023-02-13,110.0,116.9,109.81,116.42,7657239.0
190,2023-02-14,116.29,121.32,115.2,120.87,17141533.0
191,2023-02-15,130.0,138.7499,129.85,137.01,32502208.0
192,2023-02-16,135.65,144.63,134.73,139.42,18705822.0
193,2023-02-17,137.435,138.4,130.73,131.6,11386744.0
194,2023-02-21,129.77,132.85,128.145,128.78,6618673.0
195,2023-02-22,128.14,128.88,124.55,127.21,5758987.0
196,2023-02-23,128.21,128.85,121.92,125.52,7013484.0
197,2023-02-24,123.04,124.8499,120.1914,122.78,5119777.0
198,2023-02-27,123.95,125.06,122.73,123.53,5008568.0
