,Date,Open,High,Low,Close,Volume
0,2022-05-12,80.68,83.12,78.01,81.09,23833077.0
1,2022-05-13,82.12,88.36,82.0,87.99,20060383.0
2,2022-05-16,87.7,89.08,86.34,86.48,19644809.0
3,2022-05-17,92.75,94.48,89.54,91.99,27330326.0
4,2022-05-18,90.0,91.64,87.0,87.31,18991274.0
5,2022-05-19,86.18,90.09,85.74,87.69,20776427.0
6,2022-05-20,88.7,90.17,84.73,86.79,21020333.0
7,2022-05-23,87.06,87.415,84.76,87.23,13998246.0
8,2022-05-24,84.99,85.12,81.54,82.47,15214413.0
9,2022-05-25,83.72,84.07,81.07,82.31,23087224.0
10,2022-05-26,87.3,95.09,86.73,94.48,50825030.0
11,2022-05-27,92.21,94.5,90.37,93.41,26717834.0
12,2022-05-31,98.33,99.32,95.45,96.05,33743023.0
13,2022-06-01,95.9,96.9299,91.88,93.38,23730920.0
14,2022-06-02,93.67,97.63,93.4,97.5,23028126.0
15,2022-06-03,95.15,96.0,93.0227,93.21,15855929.0
16,2022-06-06,99.64,102.42,97.915,99.01,37287194.0
17,2022-06-07,99.99,104.4599,99.42,104.32,35958730.0
18,2022-06-08,108.26,121.055,107.81,119.62,92336977.0
19,2022-06-09,115.0,118.2196,109.44,109.9,72637209.0
20,2022-06-10,113.66,114.82,108.24,109.84,49813034.0
21,2022-06-13,103.61,104.53,97.58,98.52,36396684.0
22,2022-06-14,101.99,106.075,100.83,105.23,28567494.0
23,2022-06-15,106.81,108.63,104.3819,108.03,24026055.0
24,2022-06-16,102.79,104.91,100.51,101.45,22357761.0
25,2022-06-17,112.54,112.75,101.3263,102.24,72769300.0
26,2022-06-21,105.96,107.062,103.87,106.39,33964472.0
27,2022-06-22,104.23,107.1,103.08,105.15,24252479.0
28,2022-06-23,109.96,113.0898,108.0811,112.11,33228155.0
29,2022-06-24,115.3,118.09,114.3,117.62,27029850.0
30,2022-06-27,119.97,121.38,117.88,118.73,21724327.0
31,2022-06-28,118.98,120.93,116.51,116.76,18676383.0
32,2022-06-29,115.81,117.09,113.71,116.03,13792734.0
33,2022-06-30,113.77,114.6,111.38,113.68,13836210.0
34,2022-07-01,113.63,116.625,112.92,116.0,16679403.0
35,2022-07-05,114.51,120.53,112.14,120.13,21017804.0
36,2022-07-06,118.93,120.0,115.51,119.12,20222716.0
37,2022-07-07,120.63,125.0,120.63,122.39,24202036.0
38,2022-07-08,122.26,125.84,120.7,120.9,27221428.0
39,2022-07-11,115.46,115.58,109.33,109.57,31296867.0
40,2022-07-12,110.86,111.0,107.06,109.21,22318512.0
41,2022-07-13,106.84,110.64,106.75,109.1,16861432.0
42,2022-07-14,107.8,108.54,100.71,103.76,35292623.0
43,2022-07-15,103.49,103.64,97.84,102.44,33572295.0
44,2022-07-18,105.88,106.96,102.95,103.14,20503351.0
45,2022-07-19,103.97,104.82,101.53,104.75,19842524.0
46,2022-07-20,106.24,107.16,102.85,103.96,21897868.0
47,2022-07-21,104.06,106.61,103.68,105.13,17865507.0
48,2022-07-22,104.31,104.7,99.68,100.61,18815953.0
49,2022-07-25,100.5,101.27,98.74,101.06,16604302.0
50,2022-07-26,104.31,105.25,100.81,101.44,28004262.0
51,2022-07-27,102.2,102.97,99.8,102.78,19366620.0
52,2022-07-28,101.92,102.68,95.62,100.55,33875401.0
53,2022-07-29,94.22,94.22,89.11,89.37,59201756.0
54,2022-08-01,89.19,90.54,88.0,90.34,36050925.0
55,2022-08-02,88.2,94.87,88.2,92.62,34430523.0
56,2022-08-03,92.0,96.3,90.92,95.72,23921690.0
57,2022-08-04,101.07,103.0,95.06,97.43,42517833.0
58,2022-08-05,93.07,94.17,90.7301,92.56,27206134.0
59,2022-08-08,91.47,92.75,90.34,90.84,16194085.0
60,2022-08-09,91.19,93.1199,90.6,91.19,16744908.0
61,2022-08-10,91.17,92.95,88.56,92.43,17855365.0
62,2022-08-11,94.49,97.71,93.63,94.87,17521225.0
63,2022-08-12,91.51,94.8,91.43,94.77,17846425.0
64,2022-08-15,93.2,94.63,92.38,94.2,14425111.0
65,2022-08-16,92.69,93.5699,91.4,92.65,12003155.0
66,2022-08-17,91.87,92.39,89.76,89.77,14491455.0
67,2022-08-18,90.05,91.93,88.52,90.74,13418564.0
68,2022-08-19,90.41,91.65,89.18,89.63,12364344.0
69,2022-08-22,89.57,90.88,89.3,90.03,15545032.0
70,2022-08-23,89.17,90.18,86.71,89.83,17345880.0
71,2022-08-24,87.9,94.1482,87.55,92.52,22808330.0
72,2022-08-25,96.06,101.03,94.95,99.89,39062258.0
73,2022-08-26,104.84,104.85,97.61,98.0,45760441.0
74,2022-08-29,98.96,100.91,96.48,96.6,18323471.0
