,Date,Open,High,Low,Close,Volume
0,2022-05-12,391.03,397.45,386.78,393.81,7557400.0
1,2022-05-13,398.38,404.88,397.34,403.41,5360433.0
2,2022-05-16,401.69,405.735,399.32,401.71,4944505.0
3,2022-05-17,408.24,410.33,404.33,410.03,5230360.0
4,2022-05-18,405.24,405.5,392.25,393.56,6217210.0
5,2022-05-19,390.17,395.74,388.74,391.1,7168694.0
6,2022-05-20,394.91,395.49,382.17,391.3,7447986.0
7,2022-05-23,394.57,399.42,392.0795,398.61,4936456.0
8,2022-05-24,394.21,396.79,388.63,395.75,5415836.0
9,2022-05-25,394.03,401.16,393.61,399.25,5610230.0
10,2022-05-26,400.43,408.8,400.2,407.06,4283403.0
11,2022-05-27,409.71,417.25,409.49,417.25,4077373.0
12,2022-05-31,415.36,418.3,411.83,414.87,5773919.0
13,2022-06-01,416.99,418.05,408.75,411.51,6646235.0
14,2022-06-02,411.25,419.29,408.84,419.26,4391475.0
15,2022-06-03,414.21,415.84,411.32,412.38,4039087.0
16,2022-06-06,416.69,418.41,412.36,413.62,3028644.0
17,2022-06-07,409.84,418.04,409.4,417.46,4627465.0
18,2022-06-08,415.75,417.62,412.19,412.94,3379451.0
19,2022-06-09,409.79,412.15,401.89,401.99,3994407.0
20,2022-06-10,395.3,396.1,390.09,390.13,8654161.0
21,2022-06-13,380.17,382.15,373.63,375.13,13018360.0
22,2022-06-14,377.2,378.24,370.89,374.13,12557860.0
23,2022-06-15,377.69,384.24,372.44,379.46,9075766.0
24,2022-06-16,370.83,371.2308,364.36,366.99,10548879.0
25,2022-06-17,367.44,371.27,364.03,367.66,13277932.0
26,2022-06-21,373.74,378.45,373.63,377.01,6635828.0
27,2022-06-22,372.57,380.66,372.09,376.36,5115413.0
28,2022-06-23,378.58,380.763,374.77,380.13,7788956.0
29,2022-06-24,383.34,392.08,383.34,392.0,4803114.0
30,2022-06-27,393.04,393.359,389.41,390.58,7858253.0
31,2022-06-28,392.14,395.14,382.5,382.61,5630770.0
32,2022-06-29,383.17,384.22,380.4,382.34,3905792.0
33,2022-06-30,378.2,382.58,374.52,379.15,7321105.0
34,2022-07-01,378.52,383.64,375.77,383.09,5267694.0
35,2022-07-05,377.87,383.97,374.83,383.91,5097025.0
36,2022-07-06,384.11,387.855,381.59,385.28,4982831.0
37,2022-07-07,387.16,391.84,387.12,390.99,4786301.0
38,2022-07-08,389.26,392.64,387.67,390.68,3757204.0
39,2022-07-11,387.85,388.85,385.5,386.23,3601967.0
40,2022-07-12,385.7,388.15,380.96,382.76,3906578.0
41,2022-07-13,377.01,383.88,376.58,380.8,4665153.0
42,2022-07-14,375.55,380.49,372.97,379.88,4885943.0
43,2022-07-15,384.55,387.22,382.51,387.13,3959038.0
44,2022-07-18,390.36,391.05,382.65,384.0,3743632.0
45,2022-07-19,388.03,394.89,387.4,394.32,4683986.0
46,2022-07-20,394.45,398.31,393.09,396.76,4862317.0
47,2022-07-21,396.2,400.91,393.71,400.81,8258645.0
48,2022-07-22,400.99,402.24,394.8049,397.24,6173760.0
49,2022-07-25,397.82,398.55,395.29,397.65,3960308.0
50,2022-07-26,395.8601,396.09,391.98,392.93,4115469.0
51,2022-07-27,396.45,404.98,396.18,403.09,4904500.0
52,2022-07-28,403.97,408.91,400.26,408.21,5250430.0
