,Date,Open,High,Low,Close,Volume
0,2022-05-12,48.83,49.83,46.83,48.67,13177879.0
1,2022-05-13,49.96,52.35,49.71,51.55,11579256.0
2,2022-05-16,51.69,52.75,51.15,51.53,9181059.0
3,2022-05-17,55.66,56.4,49.7,53.67,38056210.0
4,2022-05-18,52.43,53.26,50.64,51.2,13836934.0
5,2022-05-19,51.09,53.6364,51.01,52.78,13828436.0
6,2022-05-20,54.25,54.9,50.99,52.17,12289433.0
7,2022-05-23,53.84,54.01,52.4001,53.33,11441184.0
8,2022-05-24,51.06,51.13,48.93,49.58,11263784.0
9,2022-05-25,50.22,50.65,49.02,50.19,8452579.0
10,2022-05-26,50.77,53.59,50.3082,52.72,14157126.0
11,2022-05-27,53.46,53.7,51.61,53.68,10263605.0
12,2022-05-31,56.87,57.72,55.76,56.12,20892993.0
13,2022-06-01,56.83,57.25,54.64,55.79,12724894.0
14,2022-06-02,56.02,58.56,55.63,58.0,11532196.0
15,2022-06-03,57.13,57.21,55.94,56.52,8358336.0
16,2022-06-06,59.89,61.29,59.11,60.21,18820071.0
17,2022-06-07,60.225,61.99,59.81,61.74,12851710.0
18,2022-06-08,63.975,67.3,63.35,66.47,22812047.0
19,2022-06-09,62.0,62.75,60.83,61.4,19049299.0
20,2022-06-10,62.9,64.77,61.3273,61.51,11810153.0
21,2022-06-13,59.9,60.54,57.6,58.93,12244109.0
22,2022-06-14,61.38,63.52,60.58,62.51,12539538.0
23,2022-06-15,63.66,64.53,62.23,64.32,13970989.0
24,2022-06-16,61.66,63.02,60.79,62.01,9629947.0
25,2022-06-17,67.31,67.39,63.81,65.23,28556603.0
26,2022-06-21,64.59,65.04,61.82,63.65,18598540.0
27,2022-06-22,60.98,62.6701,60.65,61.42,12084024.0
28,2022-06-23,62.47,64.03,60.765,61.9,17649544.0
29,2022-06-24,63.09,64.84,62.6,64.01,11412587.0
30,2022-06-27,67.16,68.29,64.92,65.62,15168037.0
31,2022-06-28,65.7,66.68,63.87,64.54,8475480.0
32,2022-06-29,63.72,64.91,63.25,64.85,6445917.0
33,2022-06-30,63.89,64.63,62.91,64.22,5557396.0
34,2022-07-01,63.91,66.36,63.68,65.95,5462223.0
35,2022-07-05,65.33,65.33,62.32,64.73,10610024.0
36,2022-07-06,63.22,63.62,60.77,61.76,8607602.0
37,2022-07-07,62.87,64.1152,62.61,63.13,7912716.0
38,2022-07-08,61.96,62.75,61.05,62.01,6004142.0
39,2022-07-11,59.4,59.85,58.56,59.59,8089639.0
40,2022-07-12,58.83,61.06,58.77,60.16,5807891.0
41,2022-07-13,59.78,62.91,59.76,61.7,5967547.0
42,2022-07-14,61.45,61.9,60.27,61.04,6276809.0
43,2022-07-15,60.38,60.63,58.585,60.26,5875847.0
44,2022-07-18,62.96,64.73,61.84,62.05,6014991.0
45,2022-07-19,62.96,63.2,61.57,62.78,4215182.0
46,2022-07-20,63.15,63.8,62.05,62.62,4784799.0
47,2022-07-21,63.23,64.4,63.04,64.01,3850747.0
48,2022-07-22,63.35,63.44,61.45,61.58,4241179.0
49,2022-07-25,63.07,63.65,62.06,62.98,4522149.0
50,2022-07-26,63.38,64.66,62.63,62.97,4336267.0
51,2022-07-27,63.95,63.95,61.6,63.32,4987755.0
52,2022-07-28,62.12,63.0,60.2,62.13,6070218.0
53,2022-07-29,59.0,60.085,58.37,59.5,7464385.0
54,2022-08-01,57.58,58.83,56.35,58.76,7032637.0
55,2022-08-02,57.01,60.64,56.86,59.73,6395414.0
56,2022-08-03,59.47,61.22,59.0,61.13,4812209.0
57,2022-08-04,64.35,64.95,62.92,63.35,7232929.0
58,2022-08-05,61.48,62.34,61.2,61.91,4763333.0
59,2022-08-08,61.59,61.74,58.46,58.84,8208345.0
60,2022-08-09,58.64,59.11,56.7,57.08,8594798.0
61,2022-08-10,56.36,56.95,54.35,55.5,13971938.0
62,2022-08-11,56.49,58.485,56.26,56.94,9374454.0
63,2022-08-12,54.52,57.33,54.52,57.05,6238870.0
64,2022-08-15,56.58,58.28,56.435,57.98,5223157.0
65,2022-08-16,56.82,57.85,56.46,57.29,4834381.0
66,2022-08-17,57.0,57.35,55.8,56.15,4903280.0
67,2022-08-18,55.62,55.88,54.385,55.19,5552838.0
68,2022-08-19,55.1,55.88,54.58,54.7,4714387.0
69,2022-08-22,55.36,56.15,54.97,55.32,8342890.0
70,2022-08-23,55.8,57.7799,53.05,57.2,13406984.0
71,2022-08-24,56.645,61.645,56.22,59.44,12443409.0
72,2022-08-25,62.01,66.42,61.93,64.91,19917604.0
73,2022-08-26,67.69,67.87,63.41,63.46,14638322.0
74,2022-08-29,63.57,64.74,62.185,62.32,7340353.0
75,2022-08-30,62.42,62.8499,60.61,61.51,7001449.0
76,2022-08-31,63.0,64.62,62.53,63.49,6955218.0
77,2022-09-01,61.75,63.2,61.33,63.11,4268199.0
78,2022-09-02,62.01,62.13,60.89,61.29,4544152.0
79,2022-09-06,59.61,60.12,59.0,59.35,4376847.0
80,2022-09-07,58.95,60.05,58.02,59.88,4845932.0
81,2022-09-08,59.3,60.36,59.22,59.91,2941733.0
82,2022-09-09,61.47,61.88,60.2,60.41,5023886.0
83,2022-09-12,60.99,61.83,60.12,61.79,5340461.0
84,2022-09-13,58.33,59.26,57.28,57.43,7339356.0
85,2022-09-14,57.41,57.67,56.25,57.4,5076419.0
86,2022-09-15,57.505,58.15,57.0,57.65,5163601.0
87,2022-09-16,56.51,56.905,55.09,55.37,7378856.0
88,2022-09-19,55.42,56.82,55.25,56.82,6204654.0
89,2022-09-20,56.615,57.94,56.52,56.8,4296763.0
90,2022-09-21,55.86,55.96,53.84,53.93,6177795.0
91,2022-09-22,54.19,54.75,52.99,53.47,4552267.0
92,2022-09-23,52.37,53.05,51.83,52.31,5627643.0
93,2022-09-26,53.23,54.68,53.1,53.34,6258213.0
94,2022-09-27,54.025,55.06,52.17,52.66,6126505.0
95,2022-09-28,51.32,53.25,50.55,52.93,5989091.0
96,2022-09-29,51.38,52.09,50.09,51.25,6141678.0
97,2022-09-30,50.27,51.355,49.81,50.3,6553623.0
98,2022-10-03,49.38,49.595,48.09,49.52,9727978.0
99,2022-10-04,50.67,52.99,50.42,52.04,8173575.0
