,Date,Open,High,Low,Close,Volume
0,2022-05-12,5.39,6.26,5.15,6.26,39077069.0
1,2022-05-13,6.39,7.415,6.39,7.27,28805068.0
2,2022-05-16,7.23,7.605,6.95,7.16,17732138.0
3,2022-05-17,7.29,7.612,6.99,7.52,17514805.0
4,2022-05-18,7.33,7.36,6.77,6.85,17070923.0
5,2022-05-19,6.642,7.2,6.62,6.9,15352479.0
6,2022-05-20,7.02,7.12,6.45,6.85,14844821.0
7,2022-05-23,6.865,6.91,6.52,6.77,9731917.0
8,2022-05-24,6.59,6.63,6.05,6.16,15330775.0
9,2022-05-25,6.08,6.495,6.0501,6.42,15195835.0
10,2022-05-26,6.38,6.695,6.3,6.52,16322153.0
11,2022-05-27,6.7,7.605,6.66,7.49,22947300.0
12,2022-05-31,7.49,7.585,7.03,7.23,35677274.0
13,2022-06-01,7.23,7.72,6.91,6.97,14290000.0
14,2022-06-02,6.97,8.08,6.88,8.01,19847167.0
15,2022-06-03,7.71,7.92,7.49,7.52,12183857.0
16,2022-06-06,7.74,7.89,7.105,7.18,14535634.0
17,2022-06-07,7.16,7.43,7.03,7.39,12001391.0
18,2022-06-08,7.32,7.69,7.29,7.35,13365636.0
19,2022-06-09,7.42,7.43,6.66,6.69,13196773.0
20,2022-06-10,6.47,6.52,5.68,5.7,24842851.0
21,2022-06-13,5.395,5.47,4.92,5.02,22064959.0
22,2022-06-14,5.13,5.33,4.81,5.04,21472144.0
23,2022-06-15,5.08,5.295,4.87,5.13,29326858.0
24,2022-06-16,4.8,4.83,4.3,4.32,27127658.0
25,2022-06-17,4.52,4.99,4.5,4.83,25877681.0
26,2022-06-21,5.005,5.245,4.74,4.76,19889062.0
27,2022-06-22,4.64,5.11,4.5815,4.82,15220152.0
28,2022-06-23,4.88,5.445,4.775,5.38,22920024.0
29,2022-06-24,5.29,5.67,5.29,5.66,15906450.0
30,2022-06-27,5.65,5.78,5.21,5.43,11663683.0
31,2022-06-28,5.475,5.58,5.09,5.13,9382691.0
32,2022-06-29,5.13,5.17,4.735,4.78,13492606.0
33,2022-06-30,4.72,4.8,4.46,4.71,10892188.0
34,2022-07-01,4.71,5.11,4.7,5.11,14360013.0
35,2022-07-05,5.04,5.49,4.83,5.47,13092047.0
36,2022-07-06,5.51,5.705,5.345,5.36,17303308.0
37,2022-07-07,5.34,5.7,5.27,5.65,14099790.0
38,2022-07-08,5.51,5.64,5.15,5.56,13736640.0
39,2022-07-11,5.5,5.5,4.86,5.12,19008017.0
40,2022-07-12,5.17,5.32,4.93,5.27,14634055.0
41,2022-07-13,5.1,5.31,4.9811,5.23,10501653.0
42,2022-07-14,5.09,5.19,4.9,4.96,9990182.0
43,2022-07-15,5.05,5.185,4.885,5.12,9652237.0
44,2022-07-18,5.14,5.345,4.9916,5.03,11719671.0
45,2022-07-19,5.17,5.68,5.12,5.53,16163846.0
46,2022-07-20,5.51,5.85,5.49,5.66,14271669.0
47,2022-07-21,5.6,5.61,5.35,5.61,7405168.0
48,2022-07-22,5.56,5.65,5.12,5.17,9988610.0
49,2022-07-25,5.19,5.19,4.8509,4.94,11948971.0
50,2022-07-26,4.86,4.88,4.61,4.65,10751626.0
51,2022-07-27,4.78,4.86,4.44,4.75,20006950.0
52,2022-07-28,4.88,5.3,4.62,5.04,22496190.0
53,2022-07-29,5.03,5.06,4.75,4.91,17663264.0
54,2022-08-01,4.94,5.06,4.68,4.79,25925072.0
55,2022-08-02,4.714,4.93,4.62,4.85,22561176.0
56,2022-08-03,4.88,5.22,4.745,5.21,18312269.0
57,2022-08-04,5.08,5.09,4.62,4.7,42347735.0
58,2022-08-05,4.75,5.87,4.71,5.72,55672377.0
59,2022-08-08,5.8,6.277,5.66,5.89,25078295.0
60,2022-08-09,5.68,5.73,5.3,5.43,24417104.0
61,2022-08-10,5.74,6.14,5.74,5.94,16816713.0
62,2022-08-11,6.14,6.17,5.84,5.99,25912366.0
63,2022-08-12,6.08,6.385,5.9,6.3,15326624.0
64,2022-08-15,6.28,6.36,5.95,6.01,26787773.0
65,2022-08-16,5.95,5.97,5.5,5.68,16428607.0
66,2022-08-17,5.51,5.53,5.08,5.085,17831478.0
67,2022-08-18,5.1,5.15,4.9,5.06,17138643.0
68,2022-08-19,4.85,4.91,4.65,4.75,23283426.0
69,2022-08-22,4.65,4.78,4.61,4.75,16437995.0
70,2022-08-23,4.74,4.93,4.58,4.65,12183701.0
71,2022-08-24,4.66,4.81,4.6,4.62,10481872.0
72,2022-08-25,4.68,4.95,4.595,4.81,9984410.0
73,2022-08-26,4.82,4.82,4.56,4.61,12604266.0
74,2022-08-29,4.5,4.735,4.48,4.49,9168397.0
75,2022-08-30,4.53,4.6095,4.36,4.46,28142650.0
76,2022-08-31,4.58,4.64,4.33,4.33,11442872.0
77,2022-09-01,4.28,4.31,4.11,4.28,12763987.0
78,2022-09-02,4.26,4.35,4.045,4.1,18192518.0
79,2022-09-06,4.14,4.27,4.035,4.21,9954681.0
80,2022-09-07,4.17,4.41,4.13,4.41,9215206.0
81,2022-09-08,4.348,4.56,4.295,4.55,10539110.0
82,2022-09-09,4.62,4.895,4.62,4.88,12776162.0
83,2022-09-12,4.92,5.07,4.86,4.96,9850186.0
84,2022-09-13,4.62,4.8199,4.53,4.57,14134014.0
85,2022-09-14,4.51,4.57,4.18,4.3,17992733.0
86,2022-09-15,4.22,4.48,4.09,4.19,26427269.0
87,2022-09-16,4.07,4.1588,3.945,4.06,27491760.0
88,2022-09-19,3.99,4.06,3.79,3.88,19388797.0
89,2022-09-20,3.78,3.8,3.51,3.56,23703190.0
90,2022-09-21,3.57,3.62,3.23,3.25,34681132.0
91,2022-09-22,3.23,3.26,3.01,3.04,28795517.0
92,2022-09-23,2.93,3.21,2.85,3.19,30808516.0
93,2022-09-26,3.17,3.355,3.05,3.06,26708711.0
94,2022-09-27,3.16,3.34,3.12,3.16,17854743.0
95,2022-09-28,3.15,3.44,3.12,3.4,15266568.0
96,2022-09-29,3.31,3.32,3.05,3.14,16130787.0
97,2022-09-30,3.14,3.19,3.05,3.11,11036273.0
98,2022-10-03,3.15,3.18,2.9714,3.14,14372535.0
99,2022-10-04,3.3,3.495,3.2962,3.38,19099323.0
100,2022-10-05,3.26,3.3,3.1,3.22,9493303.0
101,2022-10-06,3.18,3.27,2.93,2.99,16116103.0
102,2022-10-07,2.89,2.9,2.74,2.81,20020998.0
103,2022-10-10,2.84,2.98,2.74,2.94,19234192.0
104,2022-10-11,2.93,3.0,2.66,2.7,16703762.0
105,2022-10-12,2.7,2.83,2.631,2.81,13881701.0
106,2022-10-13,2.64,2.9,2.5,2.71,26901753.0
107,2022-10-14,2.77,2.85,2.44,2.445,18925113.0
108,2022-10-17,2.41,2.66,2.31,2.48,23637524.0
109,2022-10-18,2.61,2.69,2.47,2.5,18127967.0
110,2022-10-19,2.45,2.458,2.28,2.31,17651240.0
111,2022-10-20,2.3,2.53,2.3,2.44,22275676.0
112,2022-10-21,2.4,2.485,2.26,2.48,16754080.0
113,2022-10-24,2.5,2.5,2.27,2.36,18875298.0
114,2022-10-25,2.38,2.73,2.35,2.72,21293813.0
115,2022-10-26,2.65,2.8865,2.645,2.67,16481863.0
116,2022-10-27,2.695,2.91,2.63,2.65,15350776.0
117,2022-10-28,2.608,2.7293,2.53,2.69,15311173.0
118,2022-10-31,2.62,2.75,2.55,2.59,17510965.0
119,2022-11-01,2.69,2.78,2.37,2.44,20664275.0
120,2022-11-02,2.42,2.515,2.28,2.29,25058894.0
121,2022-11-03,2.27,2.53,2.25,2.34,29348273.0
122,2022-11-04,2.38,2.39,1.95,2.02,39814324.0
123,2022-11-07,2.07,2.08,1.73,1.735,33663863.0
124,2022-11-08,1.79,1.79,1.46,1.64,52845221.0
125,2022-11-09,1.61,1.63,1.5,1.51,24932636.0
126,2022-11-10,1.7,2.12,1.65,1.91,83621219.0
127,2022-11-11,1.91,2.19,1.85,2.08,40906506.0
128,2022-11-14,2.12,2.15,1.86,1.87,23076333.0
129,2022-11-15,2.04,2.07,1.91,2.05,31646040.0
130,2022-11-16,2.0,2.01,1.88,1.92,14885378.0
131,2022-11-17,1.85,1.9051,1.78,1.87,11813719.0
132,2022-11-18,1.88,1.92,1.65,1.72,49087235.0
133,2022-11-21,1.69,1.73,1.6,1.69,14951989.0
134,2022-11-22,1.67,1.68,1.58,1.64,27312224.0
135,2022-11-23,1.66,1.94,1.66,1.93,27784087.0
136,2022-11-25,1.91,2.07,1.845,2.07,11064192.0
137,2022-11-28,2.03,2.1,1.81,1.82,16620732.0
138,2022-11-29,1.82,1.85,1.73,1.75,10297534.0
139,2022-11-30,1.75,1.89,1.68,1.85,20076325.0
140,2022-12-01,1.88,1.96,1.8,1.86,18833412.0
141,2022-12-02,1.78,1.83,1.71,1.71,18068119.0
142,2022-12-05,1.72,1.73,1.53,1.54,16434317.0
143,2022-12-06,1.6,1.6,1.4,1.41,13809963.0
144,2022-12-07,1.39,1.4201,1.26,1.29,26206570.0
145,2022-12-08,1.31,1.45,1.28,1.32,12824520.0
146,2022-12-09,1.3,1.355,1.25,1.3,16190363.0
147,2022-12-12,1.31,1.475,1.28,1.45,20003232.0
148,2022-12-13,1.64,1.75,1.43,1.53,50029652.0
149,2022-12-14,1.47,1.61,1.43,1.52,18632471.0
150,2022-12-15,1.47,1.52,1.36,1.4,15924355.0
151,2022-12-16,1.37,1.37,1.23,1.26,59513028.0
152,2022-12-19,1.265,1.37,1.19,1.33,24418510.0
153,2022-12-20,1.32,1.4,1.23,1.26,42499556.0
154,2022-12-21,1.29,1.35,1.13,1.14,58581283.0
155,2022-12-22,1.05,1.17,1.01,1.03,54648472.0
156,2022-12-23,1.04,1.05,1.0,1.02,14354578.0
157,2022-12-27,1.01,1.02,0.917,0.9701,26783382.0
158,2022-12-28,0.98,1.06,0.9689,1.05,18073403.0
159,2022-12-29,1.06,1.17,1.03,1.13,29825955.0
160,2022-12-30,1.12,1.18,1.08,1.16,21507426.0
161,2023-01-03,1.18,1.25,1.07,1.1,19143520.0
162,2023-01-04,1.1,1.23,1.09,1.19,15245505.0
163,2023-01-05,1.15,1.16,1.09,1.09,10629701.0
164,2023-01-06,1.11,1.17,1.03,1.15,10844526.0
165,2023-01-09,1.19,1.31,1.16,1.2,25027202.0
166,2023-01-10,1.24,1.28,1.16,1.24,20811682.0
167,2023-01-11,1.27,1.44,1.26,1.42,27487199.0
168,2023-01-12,1.45,1.65,1.36,1.63,36749605.0
169,2023-01-13,1.58,1.7885,1.5,1.66,48514804.0
170,2023-01-17,1.715,1.79,1.565,1.73,26228870.0
171,2023-01-18,1.8,1.885,1.61,1.62,26616601.0
172,2023-01-19,1.54,1.6,1.45,1.49,19921360.0
173,2023-01-20,1.535,1.6,1.49,1.6,12184126.0
174,2023-01-23,1.61,1.77,1.61,1.74,25228093.0
175,2023-01-24,1.74,1.86,1.61,1.63,24775222.0
176,2023-01-25,1.59,1.66,1.51,1.61,17026371.0
177,2023-01-26,1.71,1.87,1.69,1.77,33677849.0
178,2023-01-27,1.77,2.09,1.73,2.03,37157419.0
179,2023-01-30,1.98,2.14,1.92,2.07,34869501.0
