,Date,Open,High,Low,Close,Volume
0,2022-05-12,49.0,50.43,48.72,50.39,33468441.0
1,2022-05-13,50.38,50.79,49.68,49.92,22423685.0
2,2022-05-16,49.87,51.05,49.87,50.67,19435565.0
3,2022-05-17,50.95,51.52,50.18,51.34,19918199.0
4,2022-05-18,51.22,51.42,50.16,50.4,22275985.0
5,2022-05-19,50.0,50.885,49.59,50.65,19865522.0
6,2022-05-20,51.265,52.6999,51.13,52.47,31250361.0
7,2022-05-23,52.58,53.695,52.48,52.88,24030842.0
8,2022-05-24,52.71,53.608,52.71,53.41,26436033.0
9,2022-05-25,53.2,54.05,53.045,53.71,24003920.0
10,2022-05-26,54.06,54.92,53.88,53.99,23516309.0
11,2022-05-27,53.92,54.405,53.515,53.91,21407519.0
12,2022-05-31,53.32,53.495,51.94,53.04,66058201.0
13,2022-06-01,53.25,53.28,51.835,52.37,17430568.0
14,2022-06-02,52.37,52.74,51.0415,52.68,21903359.0
15,2022-06-03,52.46,53.53,52.46,53.2,18124958.0
16,2022-06-06,53.19,53.715,53.0,53.26,16544398.0
17,2022-06-07,53.28,53.97,53.01,53.96,15091194.0
18,2022-06-08,54.06,54.56,53.41,53.47,12779402.0
19,2022-06-09,53.265,53.65,51.7,51.78,17578108.0
20,2022-06-10,51.31,51.37,49.95,49.97,23832187.0
21,2022-06-13,48.82,49.28,47.71,47.91,26988989.0
22,2022-06-14,47.75,48.465,47.22,47.92,23290327.0
23,2022-06-15,47.88,48.98,47.18,48.51,25747996.0
24,2022-06-16,47.69,48.0,47.055,47.48,20424508.0
25,2022-06-17,47.38,48.03,46.28,46.53,45047693.0
26,2022-06-21,47.32,48.44,46.954,48.11,19622147.0
27,2022-06-22,48.03,49.579,47.7708,49.07,20384884.0
28,2022-06-23,49.23,50.17,48.98,50.09,20061654.0
29,2022-06-24,50.65,51.64,50.3,51.59,24343179.0
30,2022-06-27,51.48,52.225,51.26,51.88,16154272.0
31,2022-06-28,51.83,51.97,50.41,50.66,16458770.0
32,2022-06-29,50.73,51.44,50.66,50.94,13909665.0
33,2022-06-30,51.69,52.885,51.085,52.43,33495729.0
34,2022-07-01,52.04,52.37,51.25,52.31,16143272.0
35,2022-07-05,51.75,51.89,50.4,51.64,18407846.0
36,2022-07-06,51.64,52.96,51.58,52.75,21305527.0
37,2022-07-07,52.95,53.54,52.79,53.42,17847629.0
38,2022-07-08,53.05,53.92,52.76,53.17,11322704.0
39,2022-07-11,53.0,53.74,52.75,52.89,12924938.0
40,2022-07-12,52.69,52.78,51.705,52.04,14633528.0
41,2022-07-13,51.86,52.31,51.51,51.79,12927324.0
42,2022-07-14,50.75,51.59,50.63,51.39,13977636.0
43,2022-07-15,51.04,51.91,50.43,51.75,19885710.0
44,2022-07-18,51.96,51.97,50.52,50.75,15742859.0
45,2022-07-19,51.04,51.51,50.605,51.37,13402113.0
46,2022-07-20,51.39,51.46,50.5137,50.82,12751896.0
47,2022-07-21,50.57,51.14,50.18,51.12,15103832.0
48,2022-07-22,51.26,51.53,50.95,51.23,10932118.0
49,2022-07-25,51.34,51.875,51.34,51.77,12995817.0
50,2022-07-26,51.84,52.85,51.71,52.3,16632506.0
51,2022-07-27,51.94,52.2544,51.185,51.95,19143197.0
52,2022-07-28,50.845,52.33,49.1,50.72,38984890.0
53,2022-07-29,50.56,50.71,49.28,50.51,25037899.0
54,2022-08-01,50.32,51.3,50.15,50.61,19676862.0
55,2022-08-02,50.9,51.47,49.63,49.69,17802024.0
56,2022-08-03,49.79,50.07,49.34,49.86,16500076.0
57,2022-08-04,49.9,50.045,49.21,49.86,17026274.0
58,2022-08-05,49.64,49.97,49.0629,49.27,16376601.0
59,2022-08-08,49.39,49.81,48.94,49.57,16077441.0
60,2022-08-09,49.75,50.11,49.52,49.78,12066985.0
61,2022-08-10,49.925,50.045,49.38,49.95,17355136.0
62,2022-08-11,48.22,49.13,47.81,48.29,44048790.0
63,2022-08-12,48.55,50.39,48.55,50.11,25835465.0
64,2022-08-15,49.97,50.065,49.385,49.75,15797763.0
65,2022-08-16,49.38,50.18,49.36,49.86,12874773.0
66,2022-08-17,49.65,49.86,49.25,49.27,13607173.0
67,2022-08-18,49.39,49.5198,48.38,48.58,18838324.0
68,2022-08-19,48.84,49.445,48.73,49.15,15350198.0
69,2022-08-22,49.21,49.395,48.735,48.9,13601214.0
70,2022-08-23,48.42,48.52,47.76,48.01,16248857.0
71,2022-08-24,47.9,48.01,47.38,47.43,15551472.0
72,2022-08-25,47.52,47.95,47.27,47.9,14360001.0
