,Date,Open,High,Low,Close,Volume
0,2022-05-12,287.45,295.75,284.94,291.15,120534650.0
1,2022-05-13,295.72,302.999,294.0825,301.94,83656711.0
2,2022-05-16,300.15,302.26,297.13,298.44,59050432.0
3,2022-05-17,304.45,306.56,300.55,306.17,62406293.0
4,2022-05-18,301.54,302.25,289.85,291.14,79138709.0
5,2022-05-19,289.29,294.39,287.58,289.58,79884709.0
6,2022-05-20,293.13,293.8,280.21,288.68,91509174.0
7,2022-05-23,289.75,293.87,287.29,293.48,63494400.0
8,2022-05-24,288.125,288.86,282.25,287.24,73446323.0
9,2022-05-25,285.71,293.39,285.5,291.26,66846348.0
10,2022-05-26,290.44,300.92,290.15,299.33,59402781.0
11,2022-05-27,302.54,309.25,302.42,309.1,66992203.0
12,2022-05-31,309.07,311.33,304.33,308.28,60968330.0
13,2022-06-01,310.47,312.65,303.73,306.0,65302553.0
14,2022-06-02,304.85,314.56,303.4001,314.38,59291333.0
15,2022-06-03,309.03,310.47,304.92,306.2,60812184.0
16,2022-06-06,310.75,312.35,305.62,307.22,50885013.0
17,2022-06-07,303.81,310.67,302.6886,309.87,44900292.0
18,2022-06-08,309.05,311.72,306.77,307.64,38276962.0
19,2022-06-09,305.91,309.05,299.23,299.4,55855475.0
20,2022-06-10,293.65,294.87,288.384,288.84,85101856.0
21,2022-06-13,279.75,282.34,274.53,275.41,94326259.0
22,2022-06-14,277.66,278.66,273.3375,275.91,64695921.0
23,2022-06-15,279.415,286.83,276.61,282.8,85983428.0
24,2022-06-16,275.59,276.06,269.28,271.39,81806131.0
25,2022-06-17,272.18,277.19,270.5119,274.69,82615402.0
26,2022-06-21,278.75,283.45,278.64,281.08,51505341.0
27,2022-06-22,278.52,285.18,277.91,280.67,67472924.0
28,2022-06-23,283.21,285.72,280.31,284.85,57423796.0
29,2022-06-24,287.74,295.04,287.5001,294.61,58414762.0
30,2022-06-27,296.0,296.5799,291.29,292.45,53829252.0
31,2022-06-28,293.0,295.65,283.35,283.54,61801810.0
32,2022-06-29,283.4,285.34,280.84,283.8,57052726.0
33,2022-06-30,280.75,283.9441,275.78,280.28,79109580.0
34,2022-07-01,278.95,282.53,277.03,282.13,56486905.0
35,2022-07-05,278.31,287.08,276.7501,286.96,61487272.0
36,2022-07-06,287.35,290.95,285.59,288.8,63154715.0
37,2022-07-07,289.63,295.7,289.63,294.98,56319964.0
38,2022-07-08,292.08,296.75,291.12,295.35,59889978.0
39,2022-07-11,292.88,293.11,288.14,289.04,55065180.0
40,2022-07-12,290.32,292.28,284.61,286.24,55410788.0
41,2022-07-13,280.6,288.05,280.02,285.65,73869968.0
42,2022-07-14,282.99,287.56,279.8,286.67,63130937.0
43,2022-07-15,289.73,291.98,288.08,291.87,63613949.0
44,2022-07-18,294.72,296.16,288.2,289.4,58833331.0
45,2022-07-19,293.11,298.6,291.47,298.3,54574890.0
46,2022-07-20,298.73,304.24,297.9329,303.03,67252330.0
47,2022-07-21,303.5,307.435,300.78,307.38,55041613.0
48,2022-07-22,306.43,308.55,300.115,301.99,57127714.0
49,2022-07-25,302.02,302.5,298.22,300.27,40542131.0
50,2022-07-26,298.53,298.79,293.54,294.37,50062122.0
51,2022-07-27,299.04,308.54,298.46,306.81,69295564.0
52,2022-07-28,306.59,310.3965,302.745,309.81,55008941.0
53,2022-07-29,311.385,316.39,309.931,315.46,57243343.0
54,2022-08-01,313.65,318.81,312.53,315.27,46358833.0
55,2022-08-02,312.92,318.545,311.8401,314.33,48586501.0
56,2022-08-03,316.05,323.7291,315.99,322.89,53659849.0
57,2022-08-04,322.97,324.72,320.77,324.4,38973659.0
58,2022-08-05,319.19,323.83,318.39,321.75,53893972.0
59,2022-08-08,322.69,326.47,319.21,320.71,44051297.0
60,2022-08-09,318.77,319.03,315.42,317.08,39666720.0
61,2022-08-10,324.59,326.23,322.0601,325.93,51409564.0
62,2022-08-11,328.305,330.36,323.36,324.08,45841650.0
63,2022-08-12,326.175,330.585,325.1001,330.39,40602879.0
64,2022-08-15,329.42,333.5652,329.4,333.06,37691014.0
65,2022-08-16,332.055,334.4209,329.16,332.28,41088114.0
66,2022-08-17,329.07,331.43,326.36,328.49,47793655.0
67,2022-08-18,328.44,330.49,326.79,329.28,41251672.0
68,2022-08-19,326.17,326.84,322.08,322.86,51770570.0
69,2022-08-22,318.5,318.74,313.53,314.36,50851890.0
70,2022-08-23,314.12,317.0,313.33,314.1,39497074.0
71,2022-08-24,313.61,316.87,312.99,315.01,38034359.0
72,2022-08-25,316.83,320.6,315.7577,320.58,37618255.0
73,2022-08-26,320.28,321.51,307.35,307.44,69034840.0
74,2022-08-29,304.62,307.22,303.28,304.41,48034051.0
75,2022-08-30,306.1,306.73,298.44,301.02,51130500.0
76,2022-08-31,303.99,304.91,299.16,299.27,49029441.0
77,2022-09-01,296.72,299.78,292.95,299.4,57922845.0
78,2022-09-02,302.34,303.75,293.52,295.17,64666339.0
79,2022-09-06,295.66,296.6,290.87,293.05,56989394.0
80,2022-09-07,293.54,299.99,293.27,298.97,49220381.0
81,2022-09-08,296.85,301.87,295.45,300.52,55465321.0
82,2022-09-09,302.83,307.6,300.5209,307.09,55451515.0
83,2022-09-12,308.5,311.08,308.18,310.74,45359137.0
84,2022-09-13,301.8,303.02,292.785,293.7,79522172.0
85,2022-09-14,294.865,296.93,293.06,296.03,54853548.0
86,2022-09-15,294.07,296.53,289.46,291.1,65044911.0
87,2022-09-16,287.72,289.72,285.62,289.32,79920391.0
88,2022-09-19,286.1,291.21,286.04,291.05,52083531.0
89,2022-09-20,288.49,291.07,286.38,288.73,50902117.0
90,2022-09-21,289.59,293.95,283.42,283.56,82723223.0
91,2022-09-22,282.0,283.03,278.815,280.07,62757073.0
92,2022-09-23,277.55,277.85,272.02,275.51,74344189.0
93,2022-09-26,275.03,279.49,273.56,274.37,70536194.0
94,2022-09-27,277.81,280.21,272.11,274.48,69559615.0
95,2022-09-28,274.46,281.25,272.945,279.94,79625140.0
96,2022-09-29,275.86,276.25,268.84,271.87,81215957.0
97,2022-09-30,271.03,275.19,267.1,267.26,78248928.0
98,2022-10-03,269.07,275.16,267.53,273.53,60854449.0
99,2022-10-04,278.99,282.85,278.99,282.13,66690931.0
100,2022-10-05,278.28,283.81,275.42,281.98,55761818.0
101,2022-10-06,280.96,284.18,279.43,279.76,53237411.0
102,2022-10-07,275.02,275.15,267.74,269.1,71354674.0
103,2022-10-10,269.3,269.7,263.64,266.41,60159990.0
104,2022-10-11,264.7,267.63,261.03,262.75,66476709.0
105,2022-10-12,263.4,265.36,261.95,262.66,50580179.0
106,2022-10-13,255.16,270.17,254.26,268.82,112892818.0
107,2022-10-14,271.2,271.81,260.14,260.74,77087702.0
108,2022-10-17,266.84,270.24,266.74,269.35,64576452.0
109,2022-10-18,276.53,277.21,268.74,271.48,69780995.0
110,2022-10-19,269.93,273.68,268.07,270.49,52701455.0
111,2022-10-20,269.58,274.84,267.92,269.11,60605496.0
112,2022-10-21,267.98,275.969,266.8236,275.42,77866694.0
113,2022-10-24,275.69,279.4,271.97,278.45,63963569.0
114,2022-10-25,279.41,284.6,277.9,284.21,59012394.0
115,2022-10-26,278.46,283.98,277.43,277.93,63672246.0
116,2022-10-27,276.79,278.2795,272.34,272.87,57642502.0
117,2022-10-28,272.23,281.698,272.06,281.22,62632312.0
118,2022-10-31,278.92,279.76,275.99,277.95,47415170.0
119,2022-11-01,281.495,282.07,274.74,275.11,45895897.0
120,2022-11-02,275.08,278.21,265.61,265.68,79793542.0
121,2022-11-03,263.01,264.5,260.1,260.49,70008903.0
122,2022-11-04,265.53,266.61,259.08,264.68,78087113.0
123,2022-11-07,265.75,268.14,263.57,267.59,47033828.0
124,2022-11-08,269.14,272.85,265.52,269.54,63159235.0
125,2022-11-09,267.76,268.56,263.03,263.32,64852563.0
126,2022-11-10,276.01,283.05,273.85,282.75,99256693.0
127,2022-11-11,282.56,288.64,281.19,287.96,66880251.0
128,2022-11-14,285.86,289.215,284.44,285.44,55078548.0
129,2022-11-15,292.21,293.26,285.97,289.39,73924572.0
130,2022-11-16,287.39,289.4838,284.6,285.44,48477184.0
131,2022-11-17,280.88,286.3189,280.72,284.81,54801576.0
132,2022-11-18,287.89,287.99,282.3211,284.82,53358612.0
133,2022-11-21,283.4,284.58,281.04,281.89,39742527.0
134,2022-11-22,282.64,286.11,280.46,285.95,41743694.0
135,2022-11-23,285.97,289.46,285.79,288.82,46224417.0
136,2022-11-25,287.19,287.91,286.42,286.92,15355997.0
137,2022-11-28,284.9,286.96,281.76,282.71,38721345.0
138,2022-11-29,282.94,283.35,279.17,280.57,35599078.0
139,2022-11-30,280.84,293.47,279.97,293.36,74634788.0
140,2022-12-01,293.69,295.75,290.88,293.72,51494132.0
141,2022-12-02,288.54,293.45,288.36,292.55,53340172.0
142,2022-12-05,290.38,291.68,286.15,287.64,41469601.0
143,2022-12-06,287.48,287.62,280.255,281.68,53929505.0
144,2022-12-07,280.47,282.57,278.7801,280.53,45291254.0
145,2022-12-08,281.91,284.84,279.79,283.85,42348513.0
146,2022-12-09,282.81,285.64,281.59,282.04,47848487.0
147,2022-12-12,282.22,285.64,281.16,285.58,35625918.0
148,2022-12-13,296.65,296.875,285.91,288.65,80364725.0
149,2022-12-14,288.05,291.41,283.19,286.51,64701532.0
150,2022-12-15,282.33,283.01,275.67,276.89,60525219.0
151,2022-12-16,276.2,277.77,272.61,274.25,68122651.0
152,2022-12-19,273.87,273.96,268.49,269.75,44137220.0
153,2022-12-20,268.56,271.32,266.95,269.54,50379074.0
154,2022-12-21,270.6,274.78,269.74,273.45,46393994.0
155,2022-12-22,270.38,270.5149,262.455,266.76,59564677.0
156,2022-12-23,265.47,268.04,263.53,267.36,38532634.0
157,2022-12-27,266.74,266.85,263.03,263.58,36374805.0
158,2022-12-28,263.17,265.47,259.73,260.1,46828043.0
159,2022-12-29,262.96,267.405,262.25,266.44,44803567.0
160,2022-12-30,263.62,266.41,262.29,266.28,37181777.0
161,2023-01-03,268.65,270.155,262.13,264.48,42044125.0
162,2023-01-04,266.64,267.45,262.53,265.74,47692111.0
163,2023-01-05,264.04,264.21,261.26,261.58,44613044.0
164,2023-01-06,263.35,269.94,260.34,268.8,54244039.0
165,2023-01-09,270.83,275.29,269.92,270.54,45568676.0
166,2023-01-10,269.49,272.94,268.97,272.83,35224888.0
167,2023-01-11,273.92,277.66,273.12,277.55,44000036.0
168,2023-01-12,278.12,280.1,273.74,279.05,60479953.0
169,2023-01-13,276.5,281.219,276.16,280.97,44482936.0
170,2023-01-17,280.77,282.85,279.581,281.54,36264738.0
171,2023-01-18,283.11,284.69,277.67,277.88,47739549.0
172,2023-01-19,276.22,277.375,273.89,275.15,44150436.0
173,2023-01-20,276.79,283.02,275.71,282.68,59456406.0
174,2023-01-23,283.54,290.21,282.73,288.96,52694905.0
175,2023-01-24,287.31,289.55,286.78,288.37,44782566.0
176,2023-01-25,283.77,288.36,281.18,287.73,50740022.0
177,2023-01-26,291.22,293.52,288.519,293.34,51578585.0
178,2023-01-27,292.0,298.26,291.88,296.26,56061439.0
179,2023-01-30,292.93,294.38,289.89,290.27,48990333.0
180,2023-01-31,290.31,294.72,290.2,294.62,46553106.0
181,2023-02-01,294.41,303.43,292.3,300.92,67561373.0
182,2023-02-02,307.57,313.68,306.73,311.72,82677628.0
183,2023-02-03,304.94,312.39,304.54,306.18,76001004.0
184,2023-02-06,303.51,305.91,302.22,303.59,40360448.0
185,2023-02-07,303.46,311.03,302.32,309.88,67232681.0
186,2023-02-08,308.54,309.5,303.67,304.37,56720860.0
187,2023-02-09,308.84,308.99,300.2,301.68,49121118.0
188,2023-02-10,299.48,301.57,297.25,299.7,50010104.0
189,2023-02-13,301.13,305.1,299.93,304.5,39311470.0
190,2023-02-14,302.89,307.72,300.91,306.75,64072457.0
191,2023-02-15,304.9,309.27,304.2,309.1,43197298.0
192,2023-02-16,304.38,308.43,303.15,303.3,58691130.0
193,2023-02-17,301.07,301.93,298.1,301.16,58086629.0
194,2023-02-21,297.26,298.73,293.89,294.03,46526708.0
195,2023-02-22,294.62,296.3599,292.56,294.25,51381737.0
196,2023-02-23,297.97,298.13,292.55,296.82,69195443.0
197,2023-02-24,291.76,292.97,290.05,291.85,73810458.0
198,2023-02-27,295.07,296.49,293.34,293.94,48444309.0
199,2023-02-28,293.3,296.124,292.96,293.56,48173241.0
200,2023-03-01,293.26,293.93,290.2,291.2,58189072.0
201,2023-03-02,288.66,294.43,288.37,293.61,53718707.0
202,2023-03-03,295.39,299.92,294.87,299.68,60216540.0
